objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
EBP01,center.jpg,,Community Center,image/jpeg,Concept art of Pelican Town's Community Center.,Eric Barone,,1/1/2012,,single-page; photographs,Concept Art,,,,,,,,,,"Eric ""ConcernedApe"" Barone ",,Image;StillImage,eng,
EBP02,junimos.jpg,,Junimos ,image/jpeg,Concept art of the Junimos.,Eric Barone,,2012,,single-page; photographs,Concept Art,,,,,,,,,,"Eric ""ConcernedApe"" Barone ",,Image;StillImage,eng,
EBP03,mines.jpg,,Mine Levels,image/jpeg,Concept art of various mine levels and structures.,,,2012,,single-page; photographs,Concept Art,,,,,,,,,,"Eric ""ConcernedApe"" Barone ",,Image;StillImage,eng,
EBP04,morris.jpg,,Morris ,image/jpeg,Concept art of JojaCorp's Morris,,,2012,,single-page; photographs,Concept Art,,,,,,,,,,"Eric ""ConcernedApe"" Barone ",,Image;StillImage,eng,
EBP05,cookbook.jpg,,Stardew Valley Cookbook,image/jpeg,Stardew Valley's cookbook.,Eric Barone and Ryan Novak,,2024,,single-page; photographs,Video Game Adaptation,,,,,,,,,,"Eric ""ConcernedApe"" Barone ",,Image;StillImage,eng,
